,time,amp
305,3.8125,-0.32
306,3.825,-0.34
307,3.8375,-0.32
308,3.85,-0.28
309,3.8625,-0.285
310,3.875,-0.31
311,3.8875,-0.36
312,3.9,-0.375
313,3.9125,-0.34
314,3.925,-0.31
315,3.9375,-0.31
316,3.95,-0.305
317,3.9625,-0.32
318,3.975,-0.32
319,3.9875,-0.35
320,4.0,-0.35
321,4.0125,-0.325
322,4.025,-0.3
323,4.0375,-0.32
324,4.05,-0.38
325,4.0625,-0.395
326,4.075,-0.335
327,4.0875,-0.275
328,4.1,-0.26
329,4.1125,-0.29
330,4.125,-0.33
331,4.1375,-0.335
332,4.15,-0.33
333,4.1625,-0.325
334,4.175,-0.27
335,4.1875,-0.145
336,4.2,0.045
337,4.2125,0.28
338,4.225,0.535
339,4.2375,0.83
340,4.25,1.105
341,4.2625,1.335
342,4.275,1.5
343,4.2875,1.51
344,4.3,1.27
345,4.3125,0.865
346,4.325,0.41
347,4.3375,0.0
348,4.35,-0.255
349,4.3625,-0.33
350,4.375,-0.33
351,4.3875,-0.315
352,4.4,-0.325
353,4.4125,-0.32
354,4.425,-0.27
355,4.4375,-0.26
356,4.45,-0.29
357,4.4625,-0.335
358,4.475,-0.33
359,4.4875,-0.345
360,4.5,-0.35
361,4.5125,-0.335
362,4.525,-0.305
363,4.5375,-0.3
364,4.55,-0.34
365,4.5625,-0.36
366,4.575,-0.37
367,4.5875,-0.38
368,4.6,-0.38
369,4.6125,-0.37
370,4.625,-0.35
371,4.6375,-0.325
372,4.65,-0.305
373,4.6625,-0.295
374,4.675,-0.275
375,4.6875,-0.305
376,4.7,-0.325
377,4.7125,-0.345
378,4.725,-0.335
379,4.7375,-0.335
380,4.75,-0.335
381,4.7625,-0.36
382,4.775,-0.365
383,4.7875,-0.35
384,4.8,-0.38
385,4.8125,-0.41
386,4.825,-0.395
387,4.8375,-0.385
388,4.85,-0.36
389,4.8625,-0.34
390,4.875,-0.345
391,4.8875,-0.325
392,4.9,-0.3
393,4.9125,-0.295
394,4.925,-0.285
395,4.9375,-0.29
396,4.95,-0.295
397,4.9625,-0.285
398,4.975,-0.275
399,4.9875,-0.275
400,5.0,-0.235
401,5.0125,-0.225
402,5.025,-0.215
403,5.0375,-0.19
404,5.05,-0.125
405,5.0625,-0.055
406,5.075,-0.04
407,5.0875,-0.065
408,5.1,-0.095
409,5.1125,-0.125
410,5.125,-0.095
411,5.1375,-0.095
412,5.15,-0.07
413,5.1625,-0.045
414,5.175,-0.01
415,5.1875,-0.02
416,5.2,-0.015
417,5.2125,-0.01
418,5.225,-0.03
419,5.2375,-0.025
420,5.25,0.005
421,5.2625,0.065
422,5.275,0.1
423,5.2875,0.11
424,5.3,0.06
425,5.3125,-0.05
426,5.325,-0.13
427,5.3375,-0.08
428,5.35,0.04
429,5.3625,0.125
430,5.375,0.115
431,5.3875,0.045
432,5.4,-0.02
433,5.4125,-0.025
434,5.425,0.02
435,5.4375,0.015
436,5.45,-0.07
437,5.4625,-0.135
438,5.475,-0.165
439,5.4875,-0.165
440,5.5,-0.1
441,5.5125,-0.04
442,5.525,-0.085
443,5.5375,-0.22
444,5.55,-0.44
445,5.5625,-0.615
446,5.575,-0.66
447,5.5875,-0.615
448,5.6,-0.55
449,5.6125,-0.505
450,5.625,-0.48
451,5.6375,-0.45
452,5.65,-0.395
453,5.6625,-0.355
454,5.675,-0.32
455,5.6875,-0.305
456,5.7,-0.32
457,5.7125,-0.37
458,5.725,-0.51
459,5.7375,-0.67
460,5.75,-0.725
461,5.7625,-0.58
462,5.775,-0.395
463,5.7875,-0.325
464,5.8,-0.37
465,5.8125,-0.42
466,5.825,-0.47
467,5.8375,-0.47
468,5.85,-0.435
469,5.8625,-0.335
470,5.875,-0.18
471,5.8875,-0.035
472,5.9,0.01
473,5.9125,-0.135
474,5.925,-0.34
475,5.9375,-0.495
476,5.95,-0.575
477,5.9625,-0.56
478,5.975,-0.52
479,5.9875,-0.505
480,6.0,-0.445
481,6.0125,-0.36
482,6.025,-0.33
483,6.0375,-0.38
484,6.05,-0.415
485,6.0625,-0.41
486,6.075,-0.415
487,6.0875,-0.46
488,6.1,-0.465
489,6.1125,-0.41
490,6.125,-0.36
491,6.1375,-0.33
492,6.15,-0.31
493,6.1625,-0.3
494,6.175,-0.255
495,6.1875,-0.215
496,6.2,-0.235
497,6.2125,-0.34
498,6.225,-0.4
499,6.2375,-0.385
500,6.25,-0.325
501,6.2625,-0.275
502,6.275,-0.295
503,6.2875,-0.365
504,6.3,-0.365
505,6.3125,-0.325
506,6.325,-0.31
507,6.3375,-0.335
508,6.35,-0.36
509,6.3625,-0.37
510,6.375,-0.345
511,6.3875,-0.33
512,6.4,-0.375
513,6.4125,-0.425
514,6.425,-0.425
515,6.4375,-0.425
516,6.45,-0.485
517,6.4625,-0.61
518,6.475,-0.725
519,6.4875,-0.78
520,6.5,-0.735
521,6.5125,-0.665
522,6.525,-0.665
523,6.5375,-0.72
524,6.55,-0.76
525,6.5625,-0.735
526,6.575,-0.625
527,6.5875,-0.545
528,6.6,-0.51
529,6.6125,-0.535
530,6.625,-0.63
531,6.6375,-0.73
532,6.65,-0.77
533,6.6625,-0.725
534,6.675,-0.64
535,6.6875,-0.58
536,6.7,-0.53
537,6.7125,-0.525
538,6.725,-0.59
539,6.7375,-0.68
540,6.75,-0.695
541,6.7625,-0.595
542,6.775,-0.455
543,6.7875,-0.315
544,6.8,-0.185
545,6.8125,-0.035
546,6.825,0.16
547,6.8375,0.425
548,6.85,0.77
549,6.8625,1.115
550,6.875,1.385
551,6.8875,1.59
552,6.9,1.66
553,6.9125,1.51
554,6.925,1.185
555,6.9375,0.78
556,6.95,0.33
557,6.9625,-0.085
558,6.975,-0.35
559,6.9875,-0.465
560,7.0,-0.535
561,7.0125,-0.605
562,7.025,-0.65
563,7.0375,-0.67
564,7.05,-0.685
565,7.0625,-0.715
566,7.075,-0.75
567,7.0875,-0.77
568,7.1,-0.755
569,7.1125,-0.755
570,7.125,-0.75
571,7.1375,-0.77
572,7.15,-0.775
573,7.1625,-0.765
574,7.175,-0.74
575,7.1875,-0.745
576,7.2,-0.77
577,7.2125,-0.795
578,7.225,-0.815
579,7.2375,-0.805
580,7.25,-0.8
581,7.2625,-0.81
582,7.275,-0.815
583,7.2875,-0.825
584,7.3,-0.8
585,7.3125,-0.785
586,7.325,-0.755
587,7.3375,-0.765
588,7.35,-0.755
589,7.3625,-0.745
590,7.375,-0.735
591,7.3875,-0.735
592,7.4,-0.785
593,7.4125,-0.845
594,7.425,-0.85
595,7.4375,-0.835
596,7.45,-0.795
597,7.4625,-0.76
598,7.475,-0.745
599,7.4875,-0.735
600,7.5,-0.725
601,7.5125,-0.7
602,7.525,-0.685
603,7.5375,-0.67
604,7.55,-0.71
605,7.5625,-0.765
606,7.575,-0.79
607,7.5875,-0.77
608,7.6,-0.74
609,7.6125,-0.7
610,7.625,-0.685
611,7.6375,-0.68
612,7.65,-0.67
613,7.6625,-0.65
614,7.675,-0.64
615,7.6875,-0.625
616,7.7,-0.605
617,7.7125,-0.615
618,7.725,-0.605
619,7.7375,-0.59
620,7.75,-0.57
621,7.7625,-0.555
622,7.775,-0.565
623,7.7875,-0.58
624,7.8,-0.57
625,7.8125,-0.545
626,7.825,-0.505
627,7.8375,-0.465
628,7.85,-0.445
629,7.8625,-0.455
630,7.875,-0.445
631,7.8875,-0.43
632,7.9,-0.415
633,7.9125,-0.435
634,7.925,-0.44
635,7.9375,-0.43
636,7.95,-0.39
637,7.9625,-0.355
638,7.975,-0.315
639,7.9875,-0.31
640,8.0,-0.33
641,8.0125,-0.355
642,8.025,-0.39
643,8.0375,-0.415
644,8.05,-0.44
645,8.0625,-0.465
646,8.075,-0.495
647,8.0875,-0.475
648,8.1,-0.475
649,8.1125,-0.49
650,8.125,-0.49
651,8.1375,-0.495
652,8.15,-0.5
653,8.1625,-0.545
654,8.175,-0.6
655,8.1875,-0.625
656,8.2,-0.625
657,8.2125,-0.63
658,8.225,-0.635
659,8.2375,-0.62
660,8.25,-0.605
661,8.2625,-0.59
662,8.275,-0.59
663,8.2875,-0.595
664,8.3,-0.615
665,8.3125,-0.635
666,8.325,-0.645
667,8.3375,-0.65
668,8.35,-0.65
669,8.3625,-0.645
670,8.375,-0.65
671,8.3875,-0.65
672,8.4,-0.645
673,8.4125,-0.635
674,8.425,-0.62
675,8.4375,-0.61
676,8.45,-0.62
677,8.4625,-0.645
678,8.475,-0.65
679,8.4875,-0.665
680,8.5,-0.66
681,8.5125,-0.625
682,8.525,-0.62
683,8.5375,-0.63
684,8.55,-0.64
685,8.5625,-0.63
686,8.575,-0.61
687,8.5875,-0.57
688,8.6,-0.545
689,8.6125,-0.57
690,8.625,-0.56
691,8.6375,-0.555
692,8.65,-0.525
693,8.6625,-0.5
694,8.675,-0.485
695,8.6875,-0.495
696,8.7,-0.51
697,8.7125,-0.505
698,8.725,-0.475
699,8.7375,-0.475
700,8.75,-0.49
701,8.7625,-0.515
702,8.775,-0.51
703,8.7875,-0.5
704,8.8,-0.49
705,8.8125,-0.505
706,8.825,-0.53
707,8.8375,-0.56
708,8.85,-0.565
709,8.8625,-0.6
710,8.875,-0.615
711,8.8875,-0.635
712,8.9,-0.645
713,8.9125,-0.645
714,8.925,-0.665
715,8.9375,-0.665
716,8.95,-0.65
717,8.9625,-0.64
718,8.975,-0.65
719,8.9875,-0.68
720,9.0,-0.695
721,9.0125,-0.685
722,9.025,-0.65
723,9.0375,-0.63
724,9.05,-0.645
725,9.0625,-0.655
726,9.075,-0.675
727,9.0875,-0.665
728,9.1,-0.66
729,9.1125,-0.655
730,9.125,-0.65
731,9.1375,-0.645
732,9.15,-0.65
733,9.1625,-0.65
734,9.175,-0.645
735,9.1875,-0.635
736,9.2,-0.625
737,9.2125,-0.66
738,9.225,-0.69
739,9.2375,-0.655
740,9.25,-0.565
741,9.2625,-0.445
742,9.275,-0.29
743,9.2875,-0.085
744,9.3,0.165
745,9.3125,0.485
746,9.325,0.76
747,9.3375,1.005
748,9.35,1.135
749,9.3625,1.06
750,9.375,0.75
751,9.3875,0.355
752,9.4,-0.055
753,9.4125,-0.42
754,9.425,-0.61
755,9.4375,-0.675
756,9.45,-0.68
757,9.4625,-0.67
758,9.475,-0.66
759,9.4875,-0.665
760,9.5,-0.645
761,9.5125,-0.645
762,9.525,-0.655
763,9.5375,-0.66
764,9.55,-0.65
765,9.5625,-0.635
766,9.575,-0.66
767,9.5875,-0.69
768,9.6,-0.71
769,9.6125,-0.7
770,9.625,-0.665
771,9.6375,-0.635
772,9.65,-0.645
773,9.6625,-0.675
774,9.675,-0.69
775,9.6875,-0.68
776,9.7,-0.655
777,9.7125,-0.64
778,9.725,-0.63
779,9.7375,-0.635
780,9.75,-0.645
781,9.7625,-0.635
782,9.775,-0.635
783,9.7875,-0.63
784,9.8,-0.635
785,9.8125,-0.635
786,9.825,-0.635
787,9.8375,-0.625
788,9.85,-0.6
789,9.8625,-0.59
790,9.875,-0.58
791,9.8875,-0.59
792,9.9,-0.605
793,9.9125,-0.575
794,9.925,-0.565
795,9.9375,-0.555
796,9.95,-0.555
797,9.9625,-0.55
798,9.975,-0.55
799,9.9875,-0.535
800,10.0,-0.535
801,10.0125,-0.525
802,10.025,-0.515
803,10.0375,-0.505
804,10.05,-0.505
805,10.0625,-0.495
806,10.075,-0.485
807,10.0875,-0.445
808,10.1,-0.415
809,10.1125,-0.41
810,10.125,-0.415
811,10.1375,-0.435
812,10.15,-0.4
813,10.1625,-0.375
814,10.175,-0.365
815,10.1875,-0.355
816,10.2,-0.355
817,10.2125,-0.345
818,10.225,-0.3
819,10.2375,-0.27
820,10.25,-0.225
821,10.2625,-0.235
822,10.275,-0.26
823,10.2875,-0.255
824,10.3,-0.235
825,10.3125,-0.22
826,10.325,-0.195
827,10.3375,-0.19
828,10.35,-0.2
829,10.3625,-0.195
830,10.375,-0.175
831,10.3875,-0.165
832,10.4,-0.17
833,10.4125,-0.18
834,10.425,-0.17
835,10.4375,-0.155
836,10.45,-0.155
837,10.4625,-0.16
838,10.475,-0.175
839,10.4875,-0.21
840,10.5,-0.255
841,10.5125,-0.295
842,10.525,-0.32
843,10.5375,-0.325
844,10.55,-0.345
845,10.5625,-0.38
846,10.575,-0.415
847,10.5875,-0.435
848,10.6,-0.425
849,10.6125,-0.44
850,10.625,-0.47
851,10.6375,-0.5
852,10.65,-0.525
853,10.6625,-0.535
854,10.675,-0.53
855,10.6875,-0.515
856,10.7,-0.515
857,10.7125,-0.545
858,10.725,-0.565
859,10.7375,-0.57
860,10.75,-0.565
861,10.7625,-0.555
862,10.775,-0.55
863,10.7875,-0.565
864,10.8,-0.575
865,10.8125,-0.575
866,10.825,-0.555
867,10.8375,-0.555
868,10.85,-0.535
869,10.8625,-0.545
870,10.875,-0.565
871,10.8875,-0.57
872,10.9,-0.555
873,10.9125,-0.54
874,10.925,-0.55
875,10.9375,-0.575
876,10.95,-0.555
877,10.9625,-0.55
878,10.975,-0.52
879,10.9875,-0.49
880,11.0,-0.5
881,11.0125,-0.515
882,11.025,-0.515
883,11.0375,-0.485
884,11.05,-0.435
885,11.0625,-0.41
886,11.075,-0.415
887,11.0875,-0.43
888,11.1,-0.43
889,11.1125,-0.385
890,11.125,-0.36
891,11.1375,-0.335
892,11.15,-0.325
893,11.1625,-0.345
894,11.175,-0.37
895,11.1875,-0.375
896,11.2,-0.355
897,11.2125,-0.345
898,11.225,-0.35
899,11.2375,-0.365
900,11.25,-0.39
901,11.2625,-0.395
902,11.275,-0.4
903,11.2875,-0.41
904,11.3,-0.43
905,11.3125,-0.455
906,11.325,-0.5
907,11.3375,-0.5
908,11.35,-0.485
909,11.3625,-0.455
910,11.375,-0.47
911,11.3875,-0.49
912,11.4,-0.505
913,11.4125,-0.51
914,11.425,-0.525
915,11.4375,-0.51
916,11.45,-0.525
917,11.4625,-0.53
918,11.475,-0.54
919,11.4875,-0.545
920,11.5,-0.525
921,11.5125,-0.51
922,11.525,-0.55
923,11.5375,-0.635
924,11.55,-0.71
925,11.5625,-0.75
926,11.575,-0.755
927,11.5875,-0.76
928,11.6,-0.785
929,11.6125,-0.75
930,11.625,-0.69
931,11.6375,-0.64
932,11.65,-0.59
933,11.6625,-0.535
934,11.675,-0.485
935,11.6875,-0.405
936,11.7,-0.295
937,11.7125,-0.165
938,11.725,-0.02
939,11.7375,0.19
940,11.75,0.46
941,11.7625,0.725
942,11.775,0.995
943,11.7875,1.18
944,11.8,1.255
945,11.8125,1.145
946,11.825,0.895
947,11.8375,0.55
948,11.85,0.215
949,11.8625,-0.055
950,11.875,-0.26
951,11.8875,-0.395
952,11.9,-0.475
953,11.9125,-0.54
954,11.925,-0.575
955,11.9375,-0.565
956,11.95,-0.53
957,11.9625,-0.51
958,11.975,-0.535
959,11.9875,-0.59
960,12.0,-0.635
961,12.0125,-0.675
962,12.025,-0.725
963,12.0375,-0.755
964,12.05,-0.77
965,12.0625,-0.8
966,12.075,-0.78
967,12.0875,-0.775
968,12.1,-0.79
969,12.1125,-0.805
970,12.125,-0.84
971,12.1375,-0.88
972,12.15,-0.925
973,12.1625,-0.935
974,12.175,-0.94
975,12.1875,-0.92
976,12.2,-0.895
977,12.2125,-0.905
978,12.225,-0.915
979,12.2375,-0.895
980,12.25,-0.83
981,12.2625,-0.745
982,12.275,-0.695
983,12.2875,-0.685
984,12.3,-0.69
985,12.3125,-0.675
986,12.325,-0.64
987,12.3375,-0.62
988,12.35,-0.62
989,12.3625,-0.635
990,12.375,-0.65
991,12.3875,-0.68
992,12.4,-0.685
993,12.4125,-0.625
994,12.425,-0.53
995,12.4375,-0.485
996,12.45,-0.445
997,12.4625,-0.385
998,12.475,-0.32
999,12.4875,-0.35
1000,12.5,-0.4
1001,12.5125,-0.37
1002,12.525,-0.355
1003,12.5375,-0.43
1004,12.55,-0.54
1005,12.5625,-0.61
1006,12.575,-0.515
1007,12.5875,-0.315
1008,12.6,-0.23
1009,12.6125,-0.25
1010,12.625,-0.245
1011,12.6375,-0.11
1012,12.65,0.01
1013,12.6625,-0.03
1014,12.675,-0.135
1015,12.6875,-0.135
1016,12.7,-0.085
1017,12.7125,-0.03
1018,12.725,-0.02
1019,12.7375,-0.04
1020,12.75,-0.045
1021,12.7625,-0.02
1022,12.775,0.015
1023,12.7875,0.085
1024,12.8,0.105
1025,12.8125,0.11
1026,12.825,0.14
1027,12.8375,0.2
1028,12.85,0.23
1029,12.8625,0.24
1030,12.875,0.205
1031,12.8875,0.155
1032,12.9,0.115
1033,12.9125,0.075
1034,12.925,0.045
1035,12.9375,0.005
1036,12.95,-0.045
1037,12.9625,-0.115
1038,12.975,-0.155
1039,12.9875,-0.195
1040,13.0,-0.23
1041,13.0125,-0.23
1042,13.025,-0.255
1043,13.0375,-0.285
1044,13.05,-0.315
1045,13.0625,-0.355
1046,13.075,-0.355
1047,13.0875,-0.355
1048,13.1,-0.38
1049,13.1125,-0.405
1050,13.125,-0.415
1051,13.1375,-0.415
1052,13.15,-0.425
1053,13.1625,-0.42
1054,13.175,-0.445
1055,13.1875,-0.45
1056,13.2,-0.46
1057,13.2125,-0.445
1058,13.225,-0.445
1059,13.2375,-0.405
1060,13.25,-0.43
1061,13.2625,-0.455
1062,13.275,-0.455
1063,13.2875,-0.445
1064,13.3,-0.445
1065,13.3125,-0.42
1066,13.325,-0.395
1067,13.3375,-0.41
1068,13.35,-0.41
1069,13.3625,-0.385
1070,13.375,-0.355
1071,13.3875,-0.33
1072,13.4,-0.325
1073,13.4125,-0.35
1074,13.425,-0.35
1075,13.4375,-0.305
1076,13.45,-0.265
1077,13.4625,-0.225
1078,13.475,-0.235
1079,13.4875,-0.27
1080,13.5,-0.31
1081,13.5125,-0.345
1082,13.525,-0.35
1083,13.5375,-0.35
1084,13.55,-0.395
1085,13.5625,-0.42
1086,13.575,-0.465
1087,13.5875,-0.51
1088,13.6,-0.565
1089,13.6125,-0.62
1090,13.625,-0.655
1091,13.6375,-0.695
1092,13.65,-0.77
1093,13.6625,-0.81
1094,13.675,-0.84
1095,13.6875,-0.835
1096,13.7,-0.82
1097,13.7125,-0.79
1098,13.725,-0.76
1099,13.7375,-0.745
1100,13.75,-0.755
1101,13.7625,-0.755
1102,13.775,-0.765
1103,13.7875,-0.78
1104,13.8,-0.795
1105,13.8125,-0.795
1106,13.825,-0.79
1107,13.8375,-0.775
1108,13.85,-0.75
1109,13.8625,-0.72
1110,13.875,-0.715
1111,13.8875,-0.685
1112,13.9,-0.66
1113,13.9125,-0.605
1114,13.925,-0.58
1115,13.9375,-0.57
1116,13.95,-0.525
1117,13.9625,-0.505
1118,13.975,-0.465
1119,13.9875,-0.43
1120,14.0,-0.42
1121,14.0125,-0.355
1122,14.025,-0.26
1123,14.0375,-0.1
1124,14.05,0.14
1125,14.0625,0.38
1126,14.075,0.64
1127,14.0875,0.885
1128,14.1,1.125
1129,14.1125,1.36
1130,14.125,1.495
1131,14.1375,1.405
1132,14.15,1.085
1133,14.1625,0.66
1134,14.175,0.275
1135,14.1875,0.025
1136,14.2,-0.09
1137,14.2125,-0.1
1138,14.225,-0.105
1139,14.2375,-0.12
1140,14.25,-0.19
1141,14.2625,-0.225
1142,14.275,-0.22
1143,14.2875,-0.2
1144,14.3,-0.25
1145,14.3125,-0.33
1146,14.325,-0.37
1147,14.3375,-0.355
1148,14.35,-0.335
1149,14.3625,-0.315
1150,14.375,-0.335
1151,14.3875,-0.38
1152,14.4,-0.41
1153,14.4125,-0.4
1154,14.425,-0.39
1155,14.4375,-0.375
1156,14.45,-0.385
1157,14.4625,-0.43
1158,14.475,-0.47
1159,14.4875,-0.475
1160,14.5,-0.465
1161,14.5125,-0.46
1162,14.525,-0.485
1163,14.5375,-0.53
1164,14.55,-0.57
1165,14.5625,-0.61
1166,14.575,-0.62
1167,14.5875,-0.59
1168,14.6,-0.595
1169,14.6125,-0.595
1170,14.625,-0.63
1171,14.6375,-0.635
1172,14.65,-0.63
1173,14.6625,-0.615
1174,14.675,-0.615
1175,14.6875,-0.63
1176,14.7,-0.64
1177,14.7125,-0.61
1178,14.725,-0.6
1179,14.7375,-0.575
1180,14.75,-0.575
1181,14.7625,-0.59
1182,14.775,-0.595
1183,14.7875,-0.585
1184,14.8,-0.555
1185,14.8125,-0.53
1186,14.825,-0.52
1187,14.8375,-0.525
1188,14.85,-0.535
1189,14.8625,-0.535
1190,14.875,-0.51
1191,14.8875,-0.475
1192,14.9,-0.475
1193,14.9125,-0.485
1194,14.925,-0.47
1195,14.9375,-0.455
1196,14.95,-0.41
1197,14.9625,-0.375
1198,14.975,-0.375
1199,14.9875,-0.38
1200,15.0,-0.39
1201,15.0125,-0.36
1202,15.025,-0.35
1203,15.0375,-0.325
1204,15.05,-0.33
1205,15.0625,-0.325
1206,15.075,-0.315
1207,15.0875,-0.28
1208,15.1,-0.27
1209,15.1125,-0.28
1210,15.125,-0.32
